[2024-09-02 16:35:36] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-02 16:35:49] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-02 16:38:14] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-02 16:43:02] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-02 16:55:01] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-02 16:56:16] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-02 16:56:35] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-02 16:58:59] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-02 17:00:17] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-02 17:00:41] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-02 17:00:47] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

